box,x0,x1,y0,y1,kappa,kappa_log_kappa,bulk_error_l2,bulk_error_l2_sq,bulk_error_c0,bulk_error_c1
core,0.4,0.6,0.4,0.6,0.0001,0.0009210340371976182,0.00010252040296441555,1.0510433023986145e-08,0.046139467594310916,6.233597011174455
core,0.4,0.6,0.4,0.6,5e-05,0.0004951743776268064,7.8121023384325e-05,6.102894294614254e-09,0.034898295606204464,4.749854806516414
core,0.4,0.6,0.4,0.6,3e-05,0.0003124293952890636,6.048791935438201e-05,3.6587883878222216e-09,0.02681061128198267,3.7162514195927057
core,0.4,0.6,0.4,0.6,1e-05,0.0001151292546497023,2.988070033970899e-05,8.92856252791485e-10,0.012853971919111834,1.9223728043576132
core,0.4,0.6,0.4,0.6,5e-06,6.1030363227650875e-05,1.785986695922845e-05,3.1897484780134006e-10,0.007573344330382793,1.1794420024887389
core,0.4,0.6,0.4,0.6,1e-06,1.3815510557964273e-05,4.8488492313395234e-06,2.3511338868261887e-11,0.0020315422678438555,0.33150063289263626
core,0.4,0.6,0.4,0.6,4e-07,5.892720515935371e-06,2.2198023495225997e-06,4.927522470946054e-12,0.000929107669617759,0.1535501861411578
core,0.4,0.6,0.4,0.6,3e-07,4.505845008687063e-06,1.7303486594202467e-06,2.994106483157445e-12,0.0007242519853454601,0.120085758583092
core,0.4,0.6,0.4,0.6,2.5e-07,3.800451229771041e-06,1.4764828846564117e-06,2.1800017086833186e-12,0.0006179967430303586,0.1026773545656909
core,0.4,0.6,0.4,0.6,2e-07,3.0849896940796747e-06,1.2149456977373694e-06,1.4760930484505433e-12,0.0005085828027237248,0.08469279246694074
core,0.4,0.6,0.4,0.6,1.8e-07,2.795455617490116e-06,1.1077833195073532e-06,1.2271838829787306e-12,0.0004637622439477261,0.07730748889359589
core,0.4,0.6,0.4,0.6,1.6e-07,2.5036947234740135e-06,9.9892952904196e-07,9.97860203991992e-13,0.0004182290868152243,0.06979495233280608
core,0.4,0.6,0.4,0.6,1.5e-07,2.3568945814275233e-06,9.438045545330376e-07,8.907670371573056e-13,0.00039516843293989704,0.06598614352246347
core,0.4,0.6,0.4,0.6,1.3e-07,2.0612450802438077e-06,8.320001907482058e-07,6.922243174050508e-13,0.00034839235790617637,0.05825145778203833
middle,0.25,0.75,0.25,0.75,0.0001,0.0009210340371976182,0.00025956430515373854,6.73736285099431e-08,0.05476788309720262,11.668797348349292
middle,0.25,0.75,0.25,0.75,5e-05,0.0004951743776268064,0.00019535978713576855,3.8165446429732797e-08,0.04125537204512442,9.250564940475154
middle,0.25,0.75,0.25,0.75,3e-05,0.0003124293952890636,0.00014931201212287063,2.2294076964180266e-08,0.032023710804129385,7.553434015271005
middle,0.25,0.75,0.25,0.75,1e-05,0.0001151292546497023,7.126120172133321e-05,5.078158870768543e-09,0.01628388409325783,4.377292178487154
middle,0.25,0.75,0.25,0.75,5e-06,6.1030363227650875e-05,4.186603106142167e-05,1.7527645568359242e-09,0.009930282351613959,2.8495103995055575
middle,0.25,0.75,0.25,0.75,1e-06,1.3815510557964273e-05,1.1132054058110222e-05,1.2392262755268824e-10,0.0027750761919727307,0.8625006709611025
middle,0.25,0.75,0.25,0.75,4e-07,5.892720515935371e-06,5.06798304902895e-06,2.5684452185244775e-11,0.0012842913833218499,0.40765503144304427
middle,0.25,0.75,0.25,0.75,3e-07,4.505845008687063e-06,3.945365687414159e-06,1.5565910407425e-11,0.001003891068315832,0.3203581561174925
middle,0.25,0.75,0.25,0.75,2.5e-07,3.800451229771041e-06,3.3640013817309303e-06,1.1316505296287608e-11,0.0008581723814983511,0.2746659574685247
middle,0.25,0.75,0.25,0.75,2e-07,3.0849896940796747e-06,2.7657706787882806e-06,7.649487447644987e-12,0.0007076270895395032,0.22726261785732388
middle,0.25,0.75,0.25,0.75,1.8e-07,2.795455617490116e-06,2.5208708271833217e-06,6.3547897273439246e-12,0.0006458098652505108,0.20773373295538947
middle,0.25,0.75,0.25,0.75,1.6e-07,2.5036947234740135e-06,2.2722444084225684e-06,5.163094651607628e-12,0.0005829326876604993,0.18782827011756933
middle,0.25,0.75,0.25,0.75,1.5e-07,2.3568945814275233e-06,2.1463923460975967e-06,4.607000103386345e-12,0.0005510570339690296,0.17772015503196753
middle,0.25,0.75,0.25,0.75,1.3e-07,2.0612450802438077e-06,1.8912597432945747e-06,3.5768634166066607e-12,0.00048633338433833745,0.15715797684450417
near-boundary,0.1,0.9,0.1,0.9,0.0001,0.0009210340371976182,0.0004200403087383368,1.7643386096499732e-07,0.06867290819873934,33.06986364183163
near-boundary,0.1,0.9,0.1,0.9,5e-05,0.0004951743776268064,0.0003116110875163301,9.710146986310995e-08,0.05487354405590857,27.434064861413272
near-boundary,0.1,0.9,0.1,0.9,3e-05,0.0003124293952890636,0.00023469676724620955,5.508257255582146e-08,0.04512663225551383,23.45541339799916
near-boundary,0.1,0.9,0.1,0.9,1e-05,0.0001151292546497023,0.00010851683721397893,1.1775903958925203e-08,0.026591870068545118,15.493065590949223
near-boundary,0.1,0.9,0.1,0.9,5e-06,6.1030363227650875e-05,6.305244812461663e-05,3.975611214507471e-09,0.017576268571524216,11.057128559019864
near-boundary,0.1,0.9,0.1,0.9,1e-06,1.3815510557964273e-05,1.6601019316144278e-05,2.7559384233499544e-10,0.005485288840155599,3.8952138753759407
near-boundary,0.1,0.9,0.1,0.9,4e-07,5.892720515935371e-06,7.542577342975358e-06,5.689047297476521e-11,0.0026225060331093626,1.915485561151219
near-boundary,0.1,0.9,0.1,0.9,3e-07,4.505845008687063e-06,5.869348395613542e-06,3.4449250589091254e-11,0.002063739545683802,1.518102613707821
near-boundary,0.1,0.9,0.1,0.9,2.5e-07,3.800451229771041e-06,5.003331139623423e-06,2.5033322492725417e-11,0.0017704254746608444,1.307786623321884
near-boundary,0.1,0.9,0.1,0.9,2e-07,3.0849896940796747e-06,4.1125533485673875e-06,1.6913095044812832e-11,0.0014655900722104105,1.087827686958812
near-boundary,0.1,0.9,0.1,0.9,1.8e-07,2.795455617490116e-06,3.7480028744380316e-06,1.4047525546795747e-11,0.001340018347156668,0.9966645703238243
near-boundary,0.1,0.9,0.1,0.9,1.6e-07,2.5036947234740135e-06,3.377973028602339e-06,1.141070178196486e-11,0.001212769969919942,0.9034012599480474
near-boundary,0.1,0.9,0.1,0.9,1.5e-07,2.3568945814275233e-06,3.1906945080336177e-06,1.0180531443595889e-11,0.00114806354563627,0.8559052323926044
near-boundary,0.1,0.9,0.1,0.9,1.3e-07,2.0612450802438077e-06,2.81109208187259e-06,7.902238692766772e-12,0.001016250865115427,0.7589936762407063
