benchmark,kappa,h_min,h_min_over_kappa,num_nodes,num_triangles,reference_h_min,reference_nodes,weighted_error_kappa,scaled_prefactor,iterations,residual_inf,initial_residual_inf,certified_threshold,certified,solver,reference_residual_inf
single_junction_mixed,0.001,0.001,1.0,120,196,1.25e-05,2016,0.2529111207156825,3.042982497090785,121.0,0.3638626442674613,0.37519599024629047,1e-09,False,L-BFGS-B,3.3990197974885917e-15
single_junction_mixed,0.001,0.0005,0.5,231,400,1.25e-05,2016,0.18318546272657502,3.1170052372127195,111.0,0.15898188308615527,0.16396211565090146,1e-09,False,L-BFGS-B,3.3990197974885917e-15
single_junction_mixed,0.001,0.00025,0.25,378,676,1.25e-05,2016,0.13699776157203994,3.2966663500177518,139.0,0.0398155649243629,0.0411461958979267,1e-09,False,L-BFGS-B,3.3990197974885917e-15
single_junction_mixed,0.001,0.0001,0.1,703,1296,1.25e-05,2016,0.07250827061991899,2.758792745312719,6.0,2.671474153004283e-15,0.15164789275717,1e-09,True,Newton,3.3990197974885917e-15
single_junction_mixed,0.001,5e-05,0.05,1035,1936,1.25e-05,2016,0.04265687652452727,2.295279500469015,6.0,2.508410146262463e-15,0.11158340057999817,1e-09,True,Newton,3.3990197974885917e-15
single_junction_mixed,0.0001,0.0001,1.0,703,1296,1.25e-06,4005,0.18513494658015106,6.100291176920199,365.0,0.3621483634599138,0.3732616522020624,1e-09,False,L-BFGS-B,6.935649774548137e-14
single_junction_mixed,0.0001,5e-05,0.5,1035,1936,1.25e-06,4005,0.09697338767627992,4.518868728036643,363.0,0.1579202656862746,0.16283257955376834,1e-09,False,L-BFGS-B,6.935649774548137e-14
single_junction_mixed,0.0001,2.5e-05,0.25,1431,2704,1.25e-06,4005,0.04565075178010771,3.0084312383821135,511.0,0.03920548862702239,0.04066774171846278,1e-09,False,L-BFGS-B,6.935649774548137e-14
single_junction_mixed,0.0001,1e-05,0.1,2145,4096,1.25e-06,4005,0.03626927397018548,3.779209973427761,6.0,9.447304050169691e-15,0.15122293789940214,1e-09,True,Newton,6.935649774548137e-14
single_junction_mixed,0.0001,5e-06,0.05,2701,5184,1.25e-06,4005,0.028416177099060313,4.187384186278383,6.0,1.3062467774105357e-14,0.11134922238652062,1e-09,True,Newton,6.935649774548137e-14
single_junction_mixed,1e-05,1e-05,1.0,2145,4096,1.2500000000000002e-07,6903,0.05520954649687177,5.145425959267046,1047.0,0.3618777785979565,0.3750358330776317,1e-09,False,L-BFGS-B,4.016112390564652e-09
single_junction_mixed,1e-05,5e-06,0.5,2701,5184,1.2500000000000002e-07,6903,0.039580102185973444,5.216738440943928,1485.0,0.1577817359987042,0.16573292897049896,1e-09,False,L-BFGS-B,4.016112390564652e-09
single_junction_mixed,1e-05,2.5e-06,0.25,3321,6400,1.2500000000000002e-07,6903,0.0330139333329048,6.15367306443153,1850.0,0.039130122660684774,0.042444070210353,1e-09,False,L-BFGS-B,4.016112390564652e-09
single_junction_mixed,1e-05,1.0000000000000002e-06,0.1,4371,8464,1.2500000000000002e-07,6903,0.03751736076621643,11.057054060136105,6.0,7.885897636962021e-14,0.1511619189616809,1e-09,True,Newton,4.016112390564652e-09
single_junction_mixed,1e-05,5.000000000000001e-07,0.05,5151,10000,1.2500000000000002e-07,6903,0.03674478207388374,15.315029134490377,6.0,1.3236642744533635e-13,0.11131530785290421,1e-09,True,Newton,4.016112390564652e-09
